product_name,handle,vendor,product_type,variant_title,price,sku,available
HYDRATION MIX / Rainbow Twist - 45 Servings,hydration-mix-rainbow-twist-45-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Rainbow Twist / 45 Servings,59.99,001-315RT,True
SPORTS DRINK / Blue Raspberry - 12 Pack,sports-drink-blue-raspberry-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-BR-12,True
SPORTS DRINK / Mixed Berry - 12 Pack,sports-drink-mixed-berry-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-MB-12,True
HYDRATION MIX / White Freeze - 100 Servings,hydration-mix-white-freeze-100-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,White Freeze / 700g,94.99,001-700WF,True
SPORT GREENS / Pineapple Coconut,sport-greens-pineapple-coconut,Biosteel-CA,Specialty Nutrition,Pineapple Coconut / 306g,44.99,300-306PC,True
HYDRATION MIX / White Freeze - 12 Packets,hydration-mix-white-freeze-12-servings,Biosteel-sd,Sports Hydration Mix,White Freeze / 12 x 7g,19.99,001-B12WF,True
HYDRATION MIX / Mixed Berry - 12 Packets,hydration-mix-mixed-berry-12-servings,Biosteel-CA,Sports Hydration Mix,Mixed-Berry / 12 x 7g,19.99,001-B12,True
Plant Amino Power BCAA+ / Berry Fusion,plant-amino-power-bcaa-berry-fusion,Biosteel-CA,Specialty Nutrition,Default Title,34.99,210-PAPBF,True
Plant Amino Power BCAA+ / Citrus Twist,plant-amino-power-bcaa-citrus-twist,Biosteel-CA,Specialty Nutrition,Default Title,34.99,210-PAPCT,False
Plant-Based Protein / Cinnamon Bun - 14 Servings,plant-protein-cinnamon-bun,Biosteel-CA,Proteins,Cinnamon Bun / 462g,34.99,060-CB,False
Plant-Based Protein / Apple Crumble - 14 Servings,plant-protein-apple-crumble,Biosteel-CA,Proteins,Apple Crumble / 462g,34.99,060-AC,False
HYDRATION MIX / Rainbow Twist - 24 Packets,hydration-mix-rainbow-twist-24-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Rainbow Twist / 24 x 7g,39.99,001-B24RT,True
HYDRATION MIX / Rainbow Twist - 20 Servings,hydration-mix-rainbow-twist-20-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Rainbow Twist / 140g,29.99,001-140RT,True
SPORTS DRINK / Peach Mango - 12 Pack,sports-drink-peach-mango-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-PM-12,True
100% Whey Protein / Cookies 'N' Cream - 14 Servings,whey-protein-cookies-cream,Biosteel-CA,Proteins,Cookies & Cream / 420g,34.99,070-CC,True
BioSteel Red Hoodie - Women's,biosteel-red-hoodie-womens,Biosteel-CA,Merchandise,XS,79.99,BSW-EVIAN-XS,True
BioSteel Red Hoodie - Women's,biosteel-red-hoodie-womens,Biosteel-CA,Merchandise,S,79.99,BSW-EVIAN-S,True
BioSteel Red Hoodie - Women's,biosteel-red-hoodie-womens,Biosteel-CA,Merchandise,M,79.99,BSW-EVIAN-M,True
BioSteel Red Hoodie - Women's,biosteel-red-hoodie-womens,Biosteel-CA,Merchandise,L,79.99,BSW-EVIAN-L,True
BioSteel Red Hoodie - Women's,biosteel-red-hoodie-womens,Biosteel-CA,Merchandise,XL,79.99,BSW-EVIAN-XL,True
MEN'S OFFICIAL BIOSTEEL T-SHIRT,mens-official-biosteel-t-shirt,Biosteel-CA,Merchandise,X-Small,29.99,0201,True
MEN'S OFFICIAL BIOSTEEL T-SHIRT,mens-official-biosteel-t-shirt,Biosteel-CA,Merchandise,Small,29.99,0202,True
MEN'S OFFICIAL BIOSTEEL T-SHIRT,mens-official-biosteel-t-shirt,Biosteel-CA,Merchandise,Medium,29.99,0203,True
MEN'S OFFICIAL BIOSTEEL T-SHIRT,mens-official-biosteel-t-shirt,Biosteel-CA,Merchandise,Large,29.99,0204,True
MEN'S OFFICIAL BIOSTEEL T-SHIRT,mens-official-biosteel-t-shirt,Biosteel-CA,Merchandise,X-Large,29.99,0205,True
MEN'S OFFICIAL BIOSTEEL T-SHIRT,mens-official-biosteel-t-shirt,Biosteel-CA,Merchandise,XX-Large,29.99,0206,True
WOMEN'S OFFICIAL BIOSTEEL T-SHIRT,womens-official-biosteel-t-shirt,Biosteel-CA,Merchandise,Small,29.99,0222,True
WOMEN'S OFFICIAL BIOSTEEL T-SHIRT,womens-official-biosteel-t-shirt,Biosteel-CA,Merchandise,Medium,29.99,0223,True
WOMEN'S OFFICIAL BIOSTEEL T-SHIRT,womens-official-biosteel-t-shirt,Biosteel-CA,Merchandise,Large,29.99,0224,True
WOMEN'S OFFICIAL BIOSTEEL T-SHIRT,womens-official-biosteel-t-shirt,Biosteel-CA,Merchandise,XL,29.99,0225,True
HYDRATION MIX / Ice Pop - 24 Packets,hydration-mix-ice-pop-24-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Ice Pop / 24 x 7g,39.99,001-B24IP,True
BioSteel New Era Grey Winter Hat,biosteel-new-era-grey-winter-hat,Biosteel-CA,Merchandise,Default Title,24.99,0265-Grey,True
Sports Drink / Strawberry Watermelon - 12 Pack,sports-drink-strawberry-watermelon-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-SW-12,False
Sports Drink / Lemon Lime - 12 Pack,sports-drink-lemon-lime-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-LL-12,False
HYDRATION MIX / Watermelon - 45 Servings,hydration-mix-watermelon-45-servings,Biosteel-sd,Sports Hydration Mix,Watermelon / 315g,59.99,001-315W,True
Sports Drink / Peach Blueberry - 12 Pack,sports-drink-peach-blueberry-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-PBAM-12,False
HYDRATION MIX / Ice Pop - 100 Servings,hydration-mix-ice-pop-100-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Ice Pop / 700g,94.99,001-700IP,True
Recovery Protein / Vanilla - 27 Servings,recovery-protein-27-servings,Biosteel-CA,Proteins,Vanilla / 1800g,79.99,051-1800F,False
Plant-Based Protein / Banana Cream Pie - 14 Servings,plant-protein-banana-cream-pie,Biosteel-CA,Proteins,Banana Cream Pie / 462g,34.99,060-BCP,True
100% Whey Protein / Fruity Cereal - 14 Servings,whey-protein-fruity-cereal,Biosteel-CA,Proteins,Fruity Cereal / 420g,34.99,070-FC,False
Plant-Based Protein / Blueberry Cobbler - 14 Servings,plant-protein-blueberry-cobbler,Biosteel-CA,Proteins,Blueberry Cobbler / 462g,34.99,060-BC,True
BioSteel Rainbow Hoodie,biosteel-rainbow-twist-hoodie,Biosteel-CA,Merchandise,S,79.99,BSTIEDYE-S,True
BioSteel Rainbow Hoodie,biosteel-rainbow-twist-hoodie,Biosteel-CA,Merchandise,M,79.99,BSTIEDYE-M,True
BioSteel Rainbow Hoodie,biosteel-rainbow-twist-hoodie,Biosteel-CA,Merchandise,L,79.99,BSTIEDYE-L,True
BioSteel Rainbow Hoodie,biosteel-rainbow-twist-hoodie,Biosteel-CA,Merchandise,XL,79.99,BSTIEDYE-XL,True
BioSteel Rainbow Hoodie,biosteel-rainbow-twist-hoodie,Biosteel-CA,Merchandise,XXL,79.99,BSTIEDYE-XXL,True
HYDRATION MIX / White Freeze  -  24 Packets,hydration-mix-white-freeze-24-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,White Freeze / 24 x 7g,39.99,001-B24WF,True
HYDRATION MIX / Ice Pop - 45 Servings,hydration-mix-ice-pop-45-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Ice Pop / 315g,59.99,001-315IP,True
Sports Drink / Rainbow Twist - 4 Pack,sports-drink-rainbow-twist-4-pack,Biosteel-sd,Sports Drinks,Default Title,14.99,RTD-RT-4PK,False
Sports Drink / Pink Lemonade- 12 Pack,sports-drink-pink-lemonade-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-PL-12,True
Recovery Protein Plus / Vanilla - Single Serve,recovery-protein-plus-vanilla-single-serve,Biosteel-CA,Proteins,Vanilla / 72g,2.99,051-70US,True
Recovery Protein Plus / Chocolate - Single Serve,recovery-protein-plus-chocolate-single-serving,Biosteel-CA,Proteins,Chocolate / 72g,2.99,050-70US,False
WHEY PROTEIN ISOLATE / Vanilla - Single Serve,whey-protein-isolate-vanilla-sample,Biosteel-CA,Proteins,Vanilla / 34g,1.99,071-34,False
HYDRATION MIX / Mixed Berry - 100 Servings,hydration-mix-mixed-berry-100-servings,Biosteel-CA,Sports Hydration Mix,Mixed Berry / 100 Servings,94.99,001-700.01,True
HYDRATION MIX / Grape - 45 Servings,hydration-mix-grape-45-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Grape / 315g,59.99,001-315G,True
BIOSTEEL - HOCKEY BAG,biosteel-hockey-bag,Biosteel-CA,Merchandise,Default Title,149.99,HOCKEYBAG,True
BIOSTEEL - NET HOLDER - RAINBOW,biosteel-net-holder-rainbow,Biosteel-CA,Merchandise,Default Title,19.99,NTHOLDR-RB,True
WHEY PROTEIN ISOLATE / Vanilla - 24 Servings,whey-protein-isolate-vanilla-24-servings,Biosteel-CA,Proteins,Vanilla / 816g,69.99,071-816.01,True
HYDRATION MIX / Blue Raspberry - 24 Packets,hydration-mix-blue-raspberry-24-serving-packets,Biosteel-CA,Sports Hydration Mix,Blue Raspberry / 24 x 7g,39.99,001-B24BR,True
100% WHEY PROTEIN / Vanilla - 25 Servings,whey-protein-vanilla-25-servings,Biosteel-CA,Proteins,Vanilla / 725g,49.99,071-100WB,True
HYDRATION MIX / Ice Pop - 7 Packets,hydration-mix-ice-pop-7-serving-packets,Biosteel-sd,Sports Hydration Mix,Ice Pop / 7 x 7g,11.99,011-07IP,True
HYDRATION MIX / Pink Lemonade - 7 Packets,hydration-mix-pink-lemonade-7-serving-packets,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Pink Lemonade / 7 x 7g,11.99,011-07PL,True
HYDRATION MIX / White Freeze - 7 Packets,hydration-mix-white-freeze-7-serving-packets,Biosteel-sd,Sports Hydration Mix,White Freeze / 7 x 7g,11.99,011-07WF,True
BioSteel Half Gallon Straw Bottle,biosteel-half-gallon-straw-bottle,BioSteel Sports Nutrition Inc. Canada,Merchandise,Default Title,24.99,0306,True
HYDRATION MIX / Watermelon - 100 Servings,hydration-mix-watermelon-100-servings,Biosteel-sd,Sports Hydration Mix,Watermelon / 700g,94.99,001-700W,True
BioSteel Patch White,biosteel-patches-2x-white,BioSteel Sports Nutrition Inc. Canada,Merchandise,Default Title,5.00,white-patch,True
HYDRATION MIX / Cherry Lime - 24 Packet,hydration-mix-cherry-lime-24-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Cherry Lime / 24 x 7g,39.99,001-B24CL,False
HYDRATION MIX / Grape - 100 Servings,hydration-mix-grape-100-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Grape / 100 Servings,94.99,001-700G.01,True
BIOSTEEL TOWEL,biosteel-towel,Biosteel-CA,Merchandise,Default Title,14.99,368,True
HYDRATION MIX / Blue Raspberry - 45 Servings,hydration-mix-blue-raspberry-45-servings,Biosteel-sd,Sports Hydration Mix,Default Title,59.99,001-315BR,True
BioSteel Red Polo (Dwayne),biosteel-red-polo,Biosteel-CA,Merchandise,S,34.99,BSREDPOLO-S,False
BioSteel Red Polo (Dwayne),biosteel-red-polo,Biosteel-CA,Merchandise,M,34.99,BSREDPOLO-M,False
BioSteel Red Polo (Dwayne),biosteel-red-polo,Biosteel-CA,Merchandise,L,34.99,BSREDPOLO-L,False
BioSteel Red Polo (Dwayne),biosteel-red-polo,Biosteel-CA,Merchandise,XL,34.99,BSREDPOLO-XL,False
BioSteel Red Polo (Dwayne),biosteel-red-polo,Biosteel-CA,Merchandise,XXL,34.99,BSREDPOLO-XXL,True
BioSteel Red Polo (Dwayne),biosteel-red-polo,Biosteel-CA,Merchandise,XXXL,34.99,BSREDPOLO-XXXL,False
BioSteel Charcoal Polo (Dwayne),biosteel-charcoal-polo-dwayne,Biosteel-CA,Merchandise,S,34.99,BSPM70L-S,True
BioSteel Charcoal Polo (Dwayne),biosteel-charcoal-polo-dwayne,Biosteel-CA,Merchandise,M,34.99,BSPM70L-M,True
BioSteel Charcoal Polo (Dwayne),biosteel-charcoal-polo-dwayne,Biosteel-CA,Merchandise,L,34.99,BSPM70L-L,True
BioSteel Charcoal Polo (Dwayne),biosteel-charcoal-polo-dwayne,Biosteel-CA,Merchandise,XL,34.99,BSPM70L-XL,True
BioSteel Charcoal Polo (Dwayne),biosteel-charcoal-polo-dwayne,Biosteel-CA,Merchandise,XXL,34.99,BSPM70L-XXL,True
BioSteel Charcoal Polo (Dwayne),biosteel-charcoal-polo-dwayne,Biosteel-CA,Merchandise,XXXL,34.99,BSPM70L-XXXL,True
Sports Drink / Orange - 12 Pack,sports-drink-orange-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-ORNHL-12,False
BIOSTEEL SHAKER CUP,biosteel-shaker-cup,Biosteel-CA,Merchandise,Default Title,14.99,355T,True
HYDRATION MIX / Rainbow Twist - 100 Servings,hydration-mix-rainbow-twist-100-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Rainbow Twist,94.99,001-700RT,True
PLANT-BASED PROTEIN / Vanilla - 25 Servings,plant-based-protein-vanilla-25-servings,Biosteel-CA,Proteins,Vanilla / 825g,69.99,068-825-NSF,True
WHEY PROTEIN ISOLATE / Chocolate - 24 Servings,whey-protein-isolate-chocolate-24-servings,Biosteel-CA,Proteins,Chocolate / 816g,69.99,070-816.01,True
HYDRATION MIX / White Freeze - 45 Servings,hydration-mix-white-freeze-45-servings,Biosteel-sd,Sports Hydration Mix,White Freeze / 315g,59.99,001-315WF,True
BioSteel Sport Caps - 24 Pack,biosteel-sportcaps-24-pack,BioSteel Canada,,Default Title,19.99,sportcap-rtd,True
BIOSTEEL - NET HOLDER - RED,biosteel-net-holder,Biosteel-CA,Merchandise,Default Title,19.99,NTHOLDR,True
Sports Drink / Grape - 12 Pack,sports-drink-grape-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-GR-12,True
HYDRATION MIX / Lemon Lime - 45 Servings,hydration-mix-lemon-lime-45-servings,Biosteel-sd,Sports Hydration Mix,Default Title,59.99,001-315LL,True
HYDRATION MIX / Pink Lemonade - 24 Packets,hydration-mix-pink-lemonade-24-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Pink Lemonade / 24 x 7g,39.99,001-B24PL,True
PLANT-BASED PROTEIN / Chocolate - 25 Servings,plant-based-protein-chocolate-25-servings,Biosteel-CA,Proteins,Chocolate / 825g,41.99,067-825-NSF,True
Recovery Protein Plus / Chocolate - 25 Servings,recovery-protein-plus-chocolate-27-servings,Biosteel-CA,Proteins,Chocolate / 1800g,79.99,050-1800US,True
PLANT-BASED PROTEIN / Maple Pancake 14 SERVINGS,plant-based-protein-maple-pancake-14-servings-expires-on-02-28-2025,BioSteel Sports Nutrition Inc. Canada,,Default Title,34.99,060-MP,False
HYDRATION MIX / Grape - 24 Packets,hydration-mix-grape-24-serving-packets,Biosteel-sd,Sports Hydration Mix,Grape / 24 x 7g,39.99,001-B24G,True
HYDRATION MIX / Watermelon - 20 Servings,hydration-mix-watermelon-20-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Default Title,29.99,001-140W,True
HYDRATION MIX / Blue Raspberry - 7 Packets,hydration-mix-blue-raspberry-7-serving-packets,Biosteel-sd,Sports Hydration Mix,Blue Raspberry / 7 x 7g,11.99,011-07BR,True
SPORT GREENS / Acai Lemonade - 30 Servings,sport-greens-acai-lemon,Biosteel-CA,Specialty Nutrition,Acai Lemonade / 306g,44.99,300-306AL,False
BioSteel Red Baby Hoodie,biosteel-red-baby-hoodie-6-months,Biosteel-CA,Merchandise,6 Months,19.99,REDBABYHOODIE-6M,True
BioSteel Red Baby Hoodie,biosteel-red-baby-hoodie-6-months,Biosteel-CA,Merchandise,12 Months,19.99,BSBABYZIPRED-12M,True
BioSteel Grey Baby Hoodie (12 months),biosteel-grey-baby-hoodie-12-months,Biosteel-CA,Merchandise,12 Months,19.99,GRBABYHOODIE-12M,True
BioSteel Grey Baby Toque (0 - 6 months),biosteel-grey-baby-toque-0-6-months,Biosteel-CA,Merchandise,0-6 Months,14.99,GRBABYTOQUE-06M,True
HYDRATION MIX / Mixed Berry - 7 Packets,hydration-mix-mixed-berry-7-serving-packets,Biosteel-sd,Sports Hydration Mix,Mixed Berry / 7 x 7g,11.99,011-07,True
HYDRATION MIX / Peach Mango - 7 Packets,hydration-mix-peach-mango-7-serving-packets,Biosteel-sd,Sports Hydration Mix,Peach Mango / 7 x 7g,11.99,011-07PM,True
SPORTS DRINK / Cherry Lime - 12 Pack,sports-drink-cherry-lime-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-CL-12,True
Sports Drink / Orange Cream Pop - 12 Pack,sports-drink-orange-cream-pop-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-OC-12,True
WHEY PROTEIN ISOLATE / Chocolate - Single Serve,whey-protein-isolate-chocolate-sample,Biosteel-CA,Proteins,Chocolate / 34g,1.99,070-34,False
100% WHEY PROTEIN / Chocolate - 25 Servings,whey-protein-chocolate-25-servings,Biosteel-CA,Proteins,Chocolate / 25 Servings,49.99,070-100WB,True
SPORT GREENS / Pomegranate Berry,sport-greens-pomegranate-berry,BioSteel Canada,Specialty Nutrition,Pomegranate Berry / 306g,44.99,300-306PB,True
BioSteel Spouted Team Bottle,biosteel-spouted-team-bottle,BioSteel Sports Nutrition Inc. Canada,Merchandise,Default Title,9.99,0303K,False
HYDRATION MIX / Peach Mango - 100 Servings,hydration-mix-peach-mango-100-servings,Biosteel-sd,Sports Hydration Mix,Peach Mango / 700g,94.99,001-700PM,True
HYDRATION MIX / Blue Raspberry - 100 Servings,hydration-mix-blue-raspberry-100-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Blue Raspberry / 100 Servings,94.99,001-700BR.01,True
BIOSTEEL TEAM BOTTLE,biosteel-team-bottle,Biosteel-CA,Merchandise,Default Title,14.99,0303C-SH,True
SPORTS DRINK / Rainbow Twist - 12 Pack,sports-drink-rainbow-twist-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-RT-12,True
Sports Drink / Black Cherry - 12 Pack,sports-drink-black-cherry-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-BCCM-12,True
HYDRATION MIX / Grape - 20 Servings,hydration-mix-grape-20-servings,Biosteel-sd,Sports Hydration Mix,Grape / 140g,29.99,001-140G,True
BIOSTEEL TEAM WATER BOTTLE CARRIER,biosteel-team-water-bottle-carrier,Biosteel-CA,Merchandise,Default Title,14.99,0304,True
HYDRATION MIX / Pink Lemonade - 100 Servings,hydration-mix-pink-lemonade-100-servings,BioSteel Sports Nutrition Inc. Canada,Sports Hydration Mix,Pink Lemonade / 700g,94.99,001-700PL,True
HYDRATION MIX / Lemon Lime - 100 Servings,hydration-mix-lemon-lime-100-servings,Biosteel-sd,Sports Hydration Mix,Lemon-Lime / 700g,94.99,001-700LL.01,True
HYDRATION MIX / Blue Raspberry - 20 Servings,hydration-mix-blue-raspberry-20-servings,Biosteel-sd,Sports Hydration Mix,Blue Raspberry / 20 Servings,29.99,001-140BR,True
PLANT-BASED PROTEIN / Vanilla - 14 Servings,plant-based-protein-vanilla-14-servings,Biosteel-CA,Proteins,Vanilla / 462g,34.99,060-462V,True
PLANT-BASED PROTEIN / Chocolate - 14 Servings,plant-based-protein-chocolate-14-servings,Biosteel-CA,Proteins,Chocolate / 462g,34.99,060-462C,True
Sports Drink / Ice Pop - 12 Pack,sports-drink-ice-pop-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-IP-12,True
BioSteel New Era Red Winter Hat,biosteel-new-era-red-winter-hat,BioSteel Canada,Merchandise,Default Title,24.99,0265-Red,True
Recovery Protein / Chocolate - 27 Servings,recovery-protein-chocolate-27-servings,Biosteel-CA,Proteins,Chocolate / 1800g,79.99,050-1800F,False
SPORTS DRINK / White Freeze - 12 Pack,sports-drink-white-freeze-12-pack,Biosteel-CA,Sports Drinks,Default Title,39.99,RTD-WF-12,True
Sport Beets Pre-Workout / Fruit Punch,sport-beets-pre-workout-fruit-punch,Biosteel-CA,Specialty Nutrition,Default Title,39.99,300-BFP,True
HYDRATION MIX / Mixed Berry - 20 Servings,hydration-mix-mixed-berry-20-servings,Biosteel-sd,Sports Hydration Mix,Mixed-Berry / 140g,29.99,001-140.01,True
100% WHEY PROTEIN / Chocolate - 14 Servings,100-whey-protein-chocolate-14-servings,Biosteel-CA,Proteins,Chocolate / 420g,34.99,070-420WB,True
100% WHEY PROTEIN / Vanilla - 14 Servings,100-whey-protein-vanilla-14-servings,Biosteel-CA,Proteins,Vanilla / 406g,34.99,071-406WB,True
Youth Official BioSteel T-Shirt,youth-official-biosteel-t-shirt,Biosteel-CA,Merchandise,S,24.99,BSYOUTHTEE-S,True
Youth Official BioSteel T-Shirt,youth-official-biosteel-t-shirt,Biosteel-CA,Merchandise,M,24.99,BSYOUTHTEE-M,False
Youth Official BioSteel T-Shirt,youth-official-biosteel-t-shirt,Biosteel-CA,Merchandise,L,24.99,BSYOUTHTEE-L,False
BioSteel Shorts,biosteel-shorts,Biosteel-CA,Merchandise,S,29.99,BSMSHORTS-S,False
BioSteel Shorts,biosteel-shorts,Biosteel-CA,Merchandise,M,29.99,BSMSHORTS-M,False
